"Date","Monetaire1","Equilibre conservateur","Omnibus","Placement","Revenu mensuel","Obligations canadiennes","Actions canadiennes","Actions internationales","Omniresponsable"
2021-01-21,0.0000396,11.886,29.414,33.151,10.445,12.189,25.855,15.932,13.154
2021-01-20,0.0000368,11.908,29.492,33.263,10.476,12.220,25.990,15.973,13.183
2021-01-19,0.0000405,11.909,29.431,33.191,10.472,12.229,25.902,15.938,13.157
2021-01-18,0.0001217,11.895,29.374,33.110,10.491,12.230,25.913,15.822,13.141
2021-01-15,0.0000396,11.900,29.349,33.064,10.485,12.229,25.856,15.807,13.128
2021-01-14,0.0000400,11.884,29.380,33.059,10.439,12.187,25.878,15.869,13.010
2021-01-13,0.0000398,11.890,29.389,33.082,10.441,12.218,25.882,15.868,13.146
2021-01-12,0.0000411,11.883,29.439,33.124,10.459,12.190,25.972,15.931,13.144
2021-01-11,0.0001243,11.881,29.394,33.110,10.470,12.193,25.883,15.919,13.159
2021-01-08,0.0000400,11.892,29.485,33.228,10.504,12.219,26.053,15.928,13.209
2021-01-07,0.0000312,11.875,29.397,33.046,10.466,12.226,25.997,15.802,13.131
2021-01-06,0.0000430,11.852,29.245,32.866,10.420,12.246,25.731,15.668,13.066
2021-01-05,0.000226,11.823,29.115,32.736,10.366,12.293,25.594,15.463,13.044
2020-12-31,0.0000409,11.818,29.075,32.702,10.331,12.342,25.468,15.421,13.052
2020-12-30,0.0000415,11.811,29.116,32.768,10.339,12.310,25.586,15.467,13.069
2020-12-29,0.0002065,11.813,29.082,32.732,10.360,12.304,25.523,15.454,13.082
2020-12-24,0.0000410,11.800,29.018,32.643,10.361,12.281,25.576,15.336,13.048
2020-12-23,0.0000410,11.785,28.977,32.598,10.337,12.265,25.522,15.325,13.027
2020-12-22,0.0000409,11.780,28.941,32.566,10.340,12.290,25.450,15.288,13.043
2020-12-21,0.0001242,11.800,28.999,32.673,10.326,12.262,25.290,15.263,13.002
2020-12-18,0.0000425,11.819,29.046,32.748,10.358,12.259,25.318,15.303,13.012
2020-12-17,0.0000390,11.827,29.103,32.833,10.414,12.298,25.574,15.814,13.044
2020-12-16,0.0000409,11.815,28.996,32.686,10.417,12.294,25.441,15.713,13.007
2020-12-15,0.0000403,11.810,28.968,32.613,10.421,12.297,25.474,15.626,12.986
2020-12-14,0.0001234,11.794,28.829,32.448,10.420,12.299,25.293,15.498,12.960
2020-12-11,0.0000429,11.822,28.877,32.523,10.461,12.300,25.328,15.560,12.977
2020-12-10,0.0000421,11.819,28.911,32.556,10.472,12.290,25.384,15.585,12.984
2020-12-09,0.0000399,11.821,28.911,32.583,10.472,12.275,25.310,15.660,13.005
2020-12-08,0.0000400,11.824,28.939,32.639,10.425,12.279,25.339,15.697,13.012
2020-12-07,0.0001231,11.801,28.886,32.567,10.404,12.265,25.316,15.619,12.976
2020-12-04,0.0000417,11.803,28.904,32.595,10.420,12.238,25.322,15.665,12.975
2020-12-03,0.0000461,11.794,28.830,32.526,10.395,12.293,25.157,15.604,12.968
